24 24
23 25
22 26
21 27
20 28
19 28
18 29
17 30
16 30
15 31
14 31
13 32
12 32
11 32
10 33
9 33
8 33
7 33
6 34
5 34
4 34
3 34
2 34
1 34
0 34
0 35
0 36
0 37
0 38
0 39
0 40
0 41
0 42
0 43
0 44
1 44
2 44
3 44
4 44
5 44
6 44
7 44
8 44
9 45
10 46
11 47
11 48
12 49
12 50
12 51
13 52
13 53
14 54
14 55
15 56
15 57
16 58
16 59
17 60
17 61
18 62
18 63
18 64
18 65
17 66
17 67
16 68
15 69
14 69
13 69
12 70
11 70
10 70
9 70
8 71
7 71
6 71
5 71
4 71
3 71
2 71
1 71
0 72
0 73
0 74
0 75
0 76
0 77
0 78
0 79
0 80
0 81
0 82
0 83
0 84
0 85
0 86
0 87
0 88
0 89
0 90
0 91
0 92
0 93
0 94
0 95
0 96
0 97
0 98
0 99
0 100
0 101
0 102
0 103
0 104
0 105
1 105
2 105
3 105
4 105
5 104
6 104
7 104
8 104
9 104
10 104
11 104
12 104
13 104
14 104
15 103
16 103
17 103
18 103
19 103
20 103
21 102
22 102
23 102
24 102
25 101
26 101
27 101
28 101
29 100
30 100
31 100
32 100
33 99
34 99
35 98
36 98
37 98
38 97
39 97
40 97
41 96
42 96
43 95
44 95
45 94
46 94
47 93
48 93
49 92
50 92
51 91
52 91
53 90
54 90
55 89
56 88
57 88
58 87
59 86
60 86
61 85
62 84
63 84
64 83
65 82
66 81
67 80
68 80
69 79
70 78
71 77
72 76
73 75
74 74
73 73
72 72
71 71
70 70
69 69
68 68
67 67
66 66
65 65
64 64
63 63
62 62
61 61
60 60
59 59
58 58
57 57
56 56
55 55
54 54
53 53
52 52
51 51
50 51
49 52
48 53
47 54
46 54
45 55
44 56
43 56
42 57
41 57
40 58
39 59
38 59
37 59
36 59
35 59
34 59
33 58
32 57
31 56
31 55
31 54
30 53
30 52
29 51
29 50
29 49
28 48
28 47
28 46
27 45
27 44
27 43
26 42
26 41
26 40
25 39
25 38
26 37
26 36
27 35
28 34
29 33
30 32
31 31
30 30
29 29
28 28
27 27
26 26
25 25
